MerchantID,MerchantName,Network,NetworkID,HomepageURL,Status
31251,1-800-Baskets,IR,5363,https://www.1800baskets.com/,active
64819,Alessandro Toscani's,IR,22078,https://www.alessandrotoscani.com/,active
37082,American Blinds,IR,9089,https://www.americanblinds.com/,active
26155,American Family Safety,SAS,8236,https://www.americanfamilysafety.com/,active
15436,Amsterdam Printing,PJ,9691,https://www.amsterdamprinting.com,active
62015,ANDRE ASSOUS,IR,18735,https://andreassous.com/,active
6287,Angara (US),LS,35520,https://www.angara.com,active
64388,Antonioli US,LS,50746,https://antonioli.eu/en-us,active
64315,Apealz,SAS,139010,https://www.apealz.com/,active
62305,Aqua Outdoors,IR,18493,https://aquaoutdoors.com/,active
64983,BagBoy,IR,22094,https://www.dynamicbrands.com,active
68870,Baicycle,IR,24534,https://us.baicycle.com/,active
43114,Banila Co,IR,11424,https://www.BanilaUSA.com,active
37803,Bass Pro Shops,IR,9453,http://www.basspro.com,active
68658,Bedrosians Tile and Stone,IR,20008,https://www.bedrosians.com/en/,active
64328,Befbee Rug,IR,22044,https://befbeerug.com/,active
52039,Best of Signs,PJ,9646,https://www.bestofsigns.com/,active
26809,Best of Signs,SAS,63219,https://www.bestofsigns.com,active
37084,Blinds.com,IR,9086,https://www.blinds.com/,active
64659,Bliss World,LS,52780,https://www.blissworld.com/,active
35255,BrainMD Health,SAS,65700,https://brainmd.com,active
33982,Canvas On Demand,PJ,8567,https://www.canvasondemand.com/,active
51343,Cariloha,IR,14163,https://www.cariloha.com/,active
39912,CBDistillery,IR,9941,https://www.thecbdistillery.com/,active
61907,Cherley,IR,18576,https://www.cherley.com/,active
45761,Circulon,IR,11992,https://circulon.com/,active
58457,Citizen Watch,IR,16603,https://www.citizenwatch.com/,active
68547,Corporate Finance Institute,IR,23723,https://corporatefinanceinstitute.com/,active
33648,Crocs.com,IR,8119,http://www.crocs.com,active
28412,Dollar Tree,SAS,64888,https://www.dollartree.com/home.jsp,active
32884,Dylan's Candy Bar,SAS,74686,https://www.dylanscandybar.com,active
32004,Eddie Bauer,IR,5671,https://www.eddiebauer.com/,active
64918,Eraldo,LS,52768,https://www.eraldo.com/us/,active
52079,Flag & Anthem,IR,14356,https://www.flagandanthem.com/,active
65471,FlyWithWine,SAS,152165,https://flywithwine.com/,active
42009,Force of Nature,SAS,70474,https://www.forceofnatureclean.com/natural-cleaner-and-disinfectant/,active
57220,Fresh Wave,IR,16329,https://www.freshwaveworks.com/,active
39793,Gap Factory,IR,10153,https://www.gapfactory.com/,active
39791,Gap US,IR,5553,https://www.gap.com/,active
44540,Giant Food,IR,10968,https://giantfood.com/,active
44995,GourmetGiftBaskets.com,IR,11763,https://www.gourmetgiftbaskets.com/,active
68960,Grace Karin,IR,24251,https://gracekarinonline.com/,active
47950,Grande Cosmetics (US),IR,12431,https://grandecosmetics.com/,active
44819,Health-Ade Kombucha,IR,11879,https://health-ade.com,active
39974,Hemp Bombs,IR,8793,https://hempbombs.com/,active
45182,Horizon Fitness US,IR,12130,https://www.horizonfitness.com,active
37222,HSN,IR,9378,https://www.hsn.com/,active
63770,HTVRONT,IR,21265,https://www.htvront.com/,active
64884,Hyperlite,IR,22971,https://hi-hyperlite.com/,active
47119,Ice Barrel,SAS,106685,https://icebarrel.com/,active
63579,iHerb,IR,19332,https://uk.iherb.com/info/affiliates,active
31236,Kohl's,IR,5349,http://www.kohls.com/,active
62207,L'ANZA,SAS,138430,https://www.lanza.com/,active
25819,Lenovo US,IR,3808,https://www.lenovo.com/us/en/,active
63549,LINFORD,SAS,145428,https://linfordoffice.com/,active
23787,Lumens,IR,3281,https://www.lumens.com/,active
64367,Masai Copenhagen,SAS,139909,https://www.masaicopenhagen.com/,active
64219,Medicinal Foods,IR,21714,https://medicinal-foods.com/,active
64938,Mega Slam Hoops,IR,21811,https://megaslamhoops.com,active
63148,"Minted, LLC",IR,19909,http://www.minted.com/,active
58961,Mira Fertility,IR,12979,https://usd.miracare.com/,active
